englisch,englisch_uk,deutsch,beispiel,notizen
"Before we move on, one quick point.","Before we move on, one quick point.","Bevor wir weitermachen, ein kurzer Punkt.","Before we move on, one quick point about the timeline.",
Could you clarify what you mean by …?,Could you clarify what you mean by …?,"Könnten Sie bitte erläutern, was Sie mit … meinen?",Could you clarify what you mean by the new requirement?,
"From my side, the next step is …","From my side, the next step is …",Von meiner Seite aus ist der nächste Schritt …,"From my side, the next step is to review the document.",
Are we good to proceed?,Are we good to proceed?,Können wir fortfahren?,Are we good to proceed with the plan?,
Just to make sure we’re aligned …,Just to make sure we’re aligned …,"Nur um sicherzugehen, dass wir auf einer Linie sind …","Just to make sure we're aligned, the deadline is Friday.",
Let me quickly summarize.,Let me quickly summarise.,Lassen Sie mich kurz zusammenfassen.,Let me quickly summarize the main points.,
I’ll share a quick summary after the call.,I’ll share a quick summary after the call.,Ich schicke nach dem Gespräch eine kurze Zusammenfassung.,I'll share a quick summary after the call so everyone has it.,
Could we take a closer look at …?,Could we take a closer look at …?,Könnten wir uns … genauer ansehen?,Could we take a closer look at the numbers?,
Are we on the same page?,Are we on the same page?,Sind wir uns einig?,Are we on the same page regarding the budget?,
Let’s move on to the next topic.,Let’s move on to the next topic.,Lassen Sie uns mit dem nächsten Punkt weitermachen.,Let’s move on to the next topic on the agenda.,
Thanks for the update.,Thanks for the update.,Danke für die Aktualisierung.,"Thanks for the update, that helps a lot.",
So to recap …,So to recap …,Um es zusammenzufassen …,"So to recap, we agreed on two next steps.",
From my perspective …,From my perspective …,Aus meiner Sicht …,"From my perspective, this approach works best.",
That works for me.,That works for me.,Das passt für mich.,"That works for me, let's continue.",
Does that sound good to you?,Does that sound good to you?,Klingt das für Sie gut?,Does that sound good to you before we move on?,
Let’s align on this later today.,Let’s align on this later today.,Lassen Sie uns das später heute abstimmen.,Let’s align on this later today in the afternoon.,
I’ll follow up tomorrow.,I’ll follow up tomorrow.,Ich melde mich morgen dazu.,I’ll follow up tomorrow with the details.,
Could you send me the latest version?,Could you send me the latest version?,Könnten Sie mir die aktuelle Version schicken?,Could you send me the latest version when you have a moment?,
Let’s set up a quick call.,Let’s set up a quick call.,Lassen Sie uns einen kurzen Call vereinbaren.,Let’s set up a quick call to clarify the open points.,
Just to double-check …,Just to double-check …,Nur um sicherzugehen …,"Just to double-check, is the deadline still Monday?",
Any objections if we continue?,Any objections if we continue?,"Spricht etwas dagegen, wenn wir weitermachen?",Any objections if we continue with the next slide?,
We’re slightly behind schedule.,We’re slightly behind schedule.,Wir liegen etwas hinter dem Zeitplan.,"We’re slightly behind schedule, but still manageable.",
We’re on track for Friday.,We’re on track for Friday.,Wir liegen im Plan für Freitag.,"We’re on track for Friday, no changes expected.",
Let’s keep it short and clear.,Let’s keep it short and clear.,Lassen Sie es kurz und klar halten.,"Let’s keep it short and clear, we only have 10 minutes.",
That’s a good point.,That’s a good point.,Das ist ein guter Punkt.,"That’s a good point, thanks for bringing it up.",
Let me add something to that.,Let me add something to that.,Lassen Sie mich etwas ergänzen.,Let me add something to that before we move on.,
I totally agree.,I totally agree.,Ich stimme vollkommen zu.,I totally agree with your suggestion.,
I see what you mean.,I see what you mean.,"Ich verstehe, was Sie meinen.","I see what you mean, thanks for explaining.",
Could you give a quick example?,Could you give a quick example?,Könnten Sie ein kurzes Beispiel geben?,Could you give a quick example to clarify?,
Let’s focus on the key points.,Let’s focus on the key points.,Lassen Sie uns auf die wichtigsten Punkte konzentrieren.,Let’s focus on the key points for now.,
That’s an interesting idea.,That’s an interesting idea.,Das ist eine interessante Idee.,"That’s an interesting idea, let’s explore it later.",
Let’s schedule the next meeting.,Let’s schedule the next meeting.,Lassen Sie das nächste Meeting planen.,Let’s schedule the next meeting for Tuesday.,
We’ll finalize the deck by Friday.,We’ll finalise the deck by Friday.,Wir finalisieren die Präsentation bis Freitag.,We’ll finalize the deck by Friday morning.,
Please share your screen.,Please share your screen.,Bitte teilen Sie Ihren Bildschirm.,Please share your screen when you're ready.,
Can everyone hear me?,Can everyone hear me?,Können mich alle hören?,Can everyone hear me clearly?,
"Sorry, you’re on mute.","Sorry, you’re on mute.","Entschuldigung, du bist stummgeschaltet.","Sorry, you’re on mute, we can’t hear you.",
Let’s start with a quick update.,Let’s start with a quick update.,Lassen Sie uns mit einem kurzen Update beginnen.,Let’s start with a quick update from your side.,
Who wants to start?,Who wants to start?,Wer möchte beginnen?,Who wants to start with the recap?,
Let’s go around the table.,Let’s go around the table.,Lassen Sie uns reihum gehen.,"Let’s go around the table, one by one.",
That’s clear from my side.,That’s clear from my side.,Von meiner Seite ist das klar.,"That’s clear from my side, thanks.",
Any other comments?,Any other comments?,Gibt es weitere Anmerkungen?,Any other comments before we wrap up?,
Let’s wrap up here.,Let’s wrap up here.,Lassen Sie uns hier abschließen.,Let’s wrap up here and continue tomorrow.,
The next step is …,The next step is …,Der nächste Schritt ist …,The next step is to gather all feedback.,
"Thanks everyone, good session.","Thanks everyone, good session.","Danke an alle, gute Runde.","Thanks everyone, good session today.",
Looking forward to the next one.,Looking forward to the next one.,Ich freue mich auf das nächste Meeting.,Looking forward to the next one already.,
